Run ID,Model,Benchmark,Status,Progress,Correct,Total,Accuracy,Avg TPS,Avg TTFT,Avg Tokens,Total Tokens,Duration,Batch,Created
126,ornith-1.0-9b,MCP-Bench,FAILED,0/5,0,1,0.0%,0.0,0.0,0.0,0,2m 43s,9ba7115b-380b-4f53-8b8f-501b371e6fb3,2026-07-09 21:42
125,ornith-1.0-9b,BFCL,FAILED,0/5,0,1,0.0%,0.0,0.0,0.0,0,0s,9ba7115b-380b-4f53-8b8f-501b371e6fb3,2026-07-09 21:42
124,ornith-1.0-9b,HumanEval,FAILED,0/0,0,0,0%,0.0,0.0,0.0,0,0s,,2026-07-09 21:35
123,ornith-1.0-9b,MCP-Bench,FAILED,0/5,0,1,0.0%,0.0,0.0,0.0,0,0s,a41d460a-e63c-42c9-8c56-2bf6d50a4eab,2026-07-09 21:35
122,ornith-1.0-9b,Aider Polyglot,FAILED,0/0,0,0,0%,0.0,0.0,0.0,0,0s,a41d460a-e63c-42c9-8c56-2bf6d50a4eab,2026-07-09 21:35
121,ornith-1.0-9b,BigCodeBench-Hard,FAILED,0/0,0,0,0%,0.0,0.0,0.0,0,0s,a41d460a-e63c-42c9-8c56-2bf6d50a4eab,2026-07-09 21:35
120,ornith-1.0-9b,HumanEval,FAILED,0/0,0,0,0%,0.0,0.0,0.0,0,0s,a41d460a-e63c-42c9-8c56-2bf6d50a4eab,2026-07-09 21:35
119,ornith-1.0-9b,HumanEval,FAILED,0/5,0,1,0.0%,0.0,0.0,0.0,0,0s,65c4adfc-f0a1-4ab6-b2b1-1a888f43217c,2026-07-09 20:20
118,ornith-1.0-9b,HumanEval,FAILED,0/5,0,1,0.0%,0.0,0.0,0.0,0,0s,abce0940-bfb9-4557-916f-db8477cc9ecf,2026-07-09 20:19
117,google/gemma-4-12b-qat,MMMU-Pro,COMPLETED,5/5,0,5,0.0%,23.5,1.966,6904.0,34520,60m 3s,43287125-4d82-4f77-871a-e65dd47febc5,2026-07-08 15:09
116,google/gemma-4-12b-qat,Aider Polyglot,COMPLETED,6/6,0,6,0.0%,21.8,2.95,13041.5,78249,47m 22s,43287125-4d82-4f77-871a-e65dd47febc5,2026-07-08 15:09
115,google/gemma-4-12b-qat,BigCodeBench-Hard,COMPLETED,5/5,3,5,60.0%,26.4,1.17,7680.6,38403,15m 49s,43287125-4d82-4f77-871a-e65dd47febc5,2026-07-08 15:09
114,google/gemma-4-12b-qat,HumanEval,COMPLETED,5/5,4,5,80.0%,25.2,3.021,1279.2,6396,2m 38s,43287125-4d82-4f77-871a-e65dd47febc5,2026-07-08 15:09
112,google/gemma-4-12b-qat,Aider Polyglot,RUNNING,0/0,0,0,0%,0.0,0.0,0.0,0,In Progress,8f96166c-045e-4a90-b5b9-32c4c8ffd742,2026-07-08 14:58
111,google/gemma-4-12b-qat,HumanEval,HALTED,4/164,0,4,0.0%,24.3,0.832,1330.8,5323,7m 31s,8f96166c-045e-4a90-b5b9-32c4c8ffd742,2026-07-08 14:58
107,google/gemma-4-12b-qat,HumanEval,HALTED,3/164,0,3,0.0%,16.2,38.596,1563.0,4689,7m 44s,6878a5ff-dded-4df9-91bf-2599fc0f1722,2026-07-08 14:46
106,google/gemma-4-12b-qat,Aider Polyglot,RUNNING,0/225,0,0,0%,0.0,0.0,0.0,0,In Progress,d9910728-326b-4dc5-a125-54b86490a4ac,2026-07-08 14:45
